name,position,goals,shots
Raphael Guerreiro,DF,8,40
Dan-Axel Zagadou,DF,1,4
Moussa Diaby,FW,5,41
Mats Hummels,DF,1,22
Patrik Schick,FW,10,53
Karim Bellarabi,FW,4,55
Thorgan Hazard,FW,7,50
Marius Wolf,FW,1,14
Christopher Nkunku,MF,5,52
Wendell,DF,0,10
Erling Haaland,FW,13,33
Péter Gulácsi,GK,0,0
Marcel Halstenberg,DF,3,31
Lukas Klostermann,DF,3,12
Nordi Mukiele,DF,3,22
Konrad Laimer,MF,2,10
Alexander Nübel,GK,0,0
Amine Harit,MF,6,29
Jérôme Boateng,DF,0,6
Javi Martínez,DF,0,1
Noah Katterbach,DF,0,3
Christian Gentner,MF,3,35
Ismail Jakobs,FW,2,18
Rafael Czichos,DF,1,13
Yuya Osako,FW,8,45
Javairo Dilrosun,MF,4,19
Alfredo Morales,MF,1,20
Kenan Karaman,FW,6,32
Achraf Hakimi,DF,5,38
Mario Götze,FW,3,8
Jamilu Collins,DF,1,19
Admir Mehmedi,MF,2,22
Ellyes Skhiri,MF,1,25
Philipp Max,DF,8,36
Omar Mascarell,MF,0,10
David Alaba,DF,1,19
Thiago Alcántara,MF,3,18
Timo Werner,FW,28,123
Pierre Kunde,MF,4,39
Zack Steffen,GK,0,0
Jadon Sancho,FW,17,52
Philippe Coutinho,MF,8,58
Weston McKennie,MF,3,32
Leon Bailey,FW,5,29
Diego Demme,MF,0,4
Krzysztof Piatek,FW,4,25
Jonjoe Kenny,DF,2,12
Milot Rashica,FW,8,73
Joshua Sargent,FW,4,30
Kaan Ayhan,DF,2,29
Robin Koch,DF,1,35
Ozan Kabak,DF,3,11
Ivan Perisic,FW,4,40
Matija Nastasic,DF,0,12
Alphonso Davies,DF,3,12
Ádám Szalai,FW,1,30
Emil Forsberg,MF,5,26
Filip Kostic,DF,4,88
Ramy Bensebaini,DF,5,23
Josip Brekalo,MF,3,42
Milos Veljkovic,DF,0,7
Robin Quaison,FW,13,71
Kwon Chang-Hoon,MF,2,15
Mohamed Dräger,DF,1,14
Laurent Jans,DF,0,8
Marko Grujic,MF,4,36
Manuel Neuer,GK,0,0
Joshua Kimmich,MF,3,25
Leon Goretzka,MF,6,40
Thomas Müller,MF,8,53
Jonathan Tah,DF,0,6
Kai Havertz,MF,12,59
Julian Brandt,MF,3,34
Kevin Trapp,GK,0,0
Matthias Ginter,DF,1,17
Maximilian Arnold,MF,4,63
Jonas Hofmann,MF,5,23
Florian Neuhaus,MF,4,57
Leandro Barreiro Martins,MF,0,8
Christian Günter,DF,2,32
Manuel Akanji,DF,0,8
Marco Reus,MF,11,47
Kevin Mbabu,DF,3,11
Kevin Volland,FW,10,77
Yann Sommer,GK,0,0
Renato Steffen,MF,6,29
Denis Zakaria,MF,2,23
Klaus Gjasula,MF,2,14
Davy Klaassen,MF,7,45
Wout Weghorst,FW,16,85
Diadie Samassékou,MF,0,6
Amadou Haidara,MF,0,19
Sargis Adamyan,FW,5,21
Marcel Tisserand,DF,1,8
Lukasz Piszczek,DF,0,20
Sven Bender,DF,2,15
Lars Bender,DF,2,20
Aaron Hunt,MF,3,30
Marcel Heller,FW,0,11
Oliver Sorg,DF,0,7
Pirmin Schwegler,MF,0,12
Dennis Aogo,MF,0,15
Caiuby,FW,5,74
Paul Verhaegh,DF,2,6
Marco Russ,DF,1,7
Daniel Baier,MF,0,27
Martin Harnik,FW,9,49
Vedad Ibisevic,FW,6,38
Mario Gomez,FW,9,56
Naldo,DF,7,47
Matthias Lehmann,MF,0,12
Claudio Pizarro,FW,1,16
Julian Schuster,DF,0,12
Arjen Robben,FW,5,51
David Abraham,DF,0,7
Gelson Fernandes,MF,0,1
André Schürrle,FW,1,36
